=== Processing spam ===

              precision    recall  f1-score   support

         ham       0.97      1.00      0.99       511
        spam       1.00      0.85      0.92       100

    accuracy                           0.98       611
   macro avg       0.99      0.93      0.95       611
weighted avg       0.98      0.98      0.97       611


Top Spam-safe Emails:
                             filename  spam_score
0001.ea7e79d3153e7469e7a9c3e0af6a357e    0.995809
0002.b3120c4bcbf3101e661161ee7efcb8bf    0.991606
0003.acfc5ad94bbd27118a0d8685d18c89dd    0.972625
0004.e8d5727378ddde5c3be181df593f1712    0.993945
0005.8c3b9e9c0f3f183ddaf7592a11b99957    0.999402
0006.ee8b0dba12856155222be180ba122058    0.993728
0007.c75188382f64b090022fa3b095b020b0    0.994596
0008.20bc0b4ba2d99aae1c7098069f611a9b    0.988389
0009.435ae292d75abb1ca492dcc2d5cf1570    0.996784
0010.4996141de3f21e858c22f88231a9f463    0.971728
